feature,beta,se,p,n
ev_tension_density,0.06084730848669673,0.09470880284550018,0.5205698170461067,980
ev_top5_mean_sim,0.13905987296403005,0.08402030894380404,0.09790938155889058,980
ev_n_similar,0.2562868563649832,0.09142701270161968,0.005060059059573681,980
ev_n_instruments,-0.21446159189708128,0.07719120837351431,0.005464140105241923,980
ev_has_native_record,0.37107303268191066,,,980
nov_semantic_distance,0.17457180599143993,0.08036618244886727,0.029840220002651498,980
nov_new_pair,-0.0648147460755767,0.07949607382279955,0.4148891119310386,980
nov_review_overlap,0.3442360100700924,0.08359443126385505,3.8229089435582003e-05,980
fal_observable,-0.10924845357064522,0.07608417595281669,0.15103384583833412,980
fal_competing_llm,0.1663563882228551,0.07197538448960546,0.02081653385934872,980
fal_quant_test,-0.056748973791170124,0.07103082623717583,0.42432842438744045,980
fal_falsification_path,0.010902001853755224,0.07495606559610334,0.8843593595801532,980
tra_n_facilities_operational,-0.00814446515325513,0.06966041211964809,0.9069260682383247,980
tra_archival_data,-1.485695493476919,33305.596340535034,0.9999644079786536,980
tra_needs_new_instrument,-4.531744741233829,,,980
txt_specificity,-0.16432316091948246,0.08044090997603162,0.041074124198551276,980
txt_has_alternatives,0.11178612117142905,0.07443427739243261,0.13314625773176442,980
txt_n_entities,-0.17253457398146377,0.08363565912152988,0.03911920695659789,980
