feature,pooled_beta,sign_consistency_cutoffs,sign_consistency_subfields,sign_consistency_sources,n_cutoff_fits,n_subfield_fits
ev_tension_density,0.06084730848669673,0.6,0.625,0.5,5,8
ev_top5_mean_sim,0.13905987296403005,0.8,0.625,0.75,5,8
ev_n_similar,0.2562868563649832,0.8,1.0,0.75,5,8
ev_n_instruments,-0.21446159189708128,1.0,0.75,1.0,5,8
ev_has_native_record,0.37107303268191066,1.0,0.8571428571428571,,5,7
nov_semantic_distance,0.17457180599143993,1.0,0.75,0.5,5,8
nov_new_pair,-0.0648147460755767,0.6,0.875,0.5,5,8
nov_review_overlap,0.3442360100700924,1.0,0.875,1.0,5,8
fal_observable,-0.10924845357064522,0.8,0.75,0.75,5,8
fal_competing_llm,0.1663563882228551,0.8,0.875,0.5,5,8
fal_quant_test,-0.056748973791170124,0.6,0.5,0.75,5,8
fal_falsification_path,0.010902001853755224,0.6,0.75,0.5,5,8
tra_n_facilities_operational,-0.00814446515325513,0.6,0.7142857142857143,0.6666666666666666,5,7
tra_archival_data,-1.485695493476919,1.0,1.0,0.6666666666666666,2,2
tra_needs_new_instrument,-4.531744741233829,0.5,1.0,1.0,2,3
txt_specificity,-0.16432316091948246,0.8,1.0,0.5,5,8
txt_has_alternatives,0.11178612117142905,0.5,0.6666666666666666,1.0,4,3
txt_n_entities,-0.17253457398146377,0.8,0.75,0.5,5,8
