feature,beta_addressed,p_addressed,beta_log_papers,p_log_papers
str_n_claims,0.4513,0.0012,0.1163,0.0343
str_n_papers,0.4513,0.0012,0.1163,0.0343
str_year_spread,0.079,0.4984,0.0012,0.9808
str_newest_age,-0.139,0.2294,-0.123,0.0108
str_oldest_age,-0.0608,0.6234,-0.1661,0.0023
str_type_contradiction,0.2987,0.014,-0.0623,0.1993
str_type_unexplained,0.1941,0.0983,0.0188,0.7061
str_type_method,-0.1086,0.3414,0.0587,0.2391
str_type_stance,0.1055,0.3555,-0.0444,0.3513
str_quantified,-0.0381,0.7342,0.0212,0.662
str_max_sigma,-0.0835,0.4665,0.0041,0.933
str_n_facilities,0.0904,0.4292,0.0835,0.0926
str_cross_facility,0.1689,0.1725,-0.0265,0.5906
str_recurrent,0.084,0.4898,-0.0092,0.86
